Sensor,R2
xmeas_1,0.004463076591491699
xmv_3,0.004384934902191162
xmeas_19,0.0021849870681762695
xmv_9,0.0018955469131469727
xmeas_18,-0.004288434982299805
xmeas_20,-0.012013912200927734
xmeas_10,-0.016086459159851074
xmv_6,-0.01625978946685791
xmeas_16,-0.03003823757171631
xmeas_7,-0.036575913429260254
xmeas_13,-0.041901350021362305
xmeas_38,-0.06278157234191895
xmeas_11,-0.08220267295837402
xmv_5,-0.11456894874572754
xmeas_21,-0.14345669746398926
xmeas_40,-0.16552233695983887
xmeas_37,-0.16917145252227783
xmeas_41,-0.17116045951843262
xmeas_39,-0.1728377342224121
xmeas_31,-0.24443364143371582
xmeas_2,-0.2832601070404053
xmv_1,-0.2930567264556885
xmeas_29,-0.2942570447921753
xmeas_33,-0.29634034633636475
xmeas_3,-0.30321991443634033
xmv_2,-0.303533673286438
xmeas_25,-0.31984639167785645
xmeas_35,-0.3491349220275879
xmeas_27,-0.36373472213745117
xmeas_23,-0.36557817459106445
xmeas_30,-0.41993021965026855
xmeas_34,-0.4459230899810791
xmeas_36,-0.4461488723754883
xmeas_26,-0.46214890480041504
xmeas_28,-0.4626811742782593
xmeas_32,-0.4723024368286133
xmeas_24,-0.47262585163116455
xmeas_9,-0.4805934429168701
xmv_10,-0.4961351156234741
xmeas_22,-0.5574167966842651
xmeas_4,-0.6742287874221802
xmeas_8,-0.8099174499511719
xmeas_6,-0.8960853815078735
xmv_4,-0.899726152420044
xmeas_14,-0.9420382976531982
xmv_8,-0.9420950412750244
xmeas_15,-0.9421465396881104
xmv_11,-0.946222186088562
xmeas_17,-0.9474310874938965
xmeas_5,-0.9506083726882935
xmeas_12,-0.9621107578277588
xmv_7,-0.9624910354614258
