sensor,r2,rmse
xmeas_1,0.9731495976448059,0.1665796515936299
xmeas_2,0.9054675102233887,0.30818496863355066
xmeas_3,0.9192962646484375,0.2879459364201426
xmeas_4,0.8758918046951294,0.35765976623699874
xmeas_5,0.6383317708969116,0.5994487882904959
xmeas_6,0.6849950551986694,0.5611592314117778
xmeas_7,0.9959239363670349,0.06533959933639062
xmeas_8,0.8038676977157593,0.44735926684810323
xmeas_9,0.7345601320266724,0.5165391390318786
xmeas_10,0.9512789249420166,0.22312989802554256
xmeas_11,0.9720727801322937,0.17104434188321915
xmeas_12,0.6390862464904785,0.5993609333078238
xmeas_13,0.9954435229301453,0.06906982854434769
xmeas_14,0.6334021687507629,0.6038231174351676
xmeas_15,0.6335130929946899,0.6035903588105166
xmeas_16,0.9949760437011719,0.07254870810751052
xmeas_17,0.6297287940979004,0.6061310621962659
xmeas_18,0.9983096718788147,0.04215578436788758
xmeas_19,0.9979760050773621,0.0460483026932022
xmeas_20,0.9968910813331604,0.05692497968531465
xmeas_21,0.9350550174713135,0.25774950645040623
xmeas_22,0.80629563331604,0.44575516967749496
xmeas_23,0.9059969186782837,0.3108303407779837
xmeas_24,0.8283583521842957,0.4168267200942633
xmeas_25,0.9218124151229858,0.2846693035637525
xmeas_26,0.8553505539894104,0.38098459386089834
xmeas_27,0.9069065451622009,0.30889121337862374
xmeas_28,0.8172626495361328,0.4287921941475513
xmeas_29,0.9350671768188477,0.2589912632275013
xmeas_30,0.8803207278251648,0.34880704826765757
xmeas_31,0.9564254879951477,0.21343405946999713
xmeas_32,0.8085675239562988,0.4386461435517853
xmeas_33,0.9339471459388733,0.26143753544029524
xmeas_34,0.8451231718063354,0.39658072667962907
xmeas_35,0.9173867106437683,0.2922581255821699
xmeas_36,0.8315160870552063,0.4134425254222248
xmeas_37,0.8840650320053101,0.3414302494508901
xmeas_38,0.9729482531547546,0.16794798966681257
xmeas_39,0.8877162933349609,0.3358042696752377
xmeas_40,0.8897101879119873,0.3336125250185186
xmeas_41,0.8896588683128357,0.33415967122189394
